"ДАТА","ТИП","СО СЧЁТА","НА СЧЁТ / НА КАТЕГОРИЮ","СУММА","ВАЛЮТА","СУММА 2","ВАЛЮТА 2","МЕТКИ","ЗАМЕТКИ"
"30.11.21","Доход","Сбербанк Айкумiс","Зарплата Айкумiс","21309.59","KZT","21309.59","KZT","",""
"29.11.21","Расход","Jusan Медет","Продукты","420","KZT","420","KZT","","Молоко",""
"28.11.21","Расход","Kaspi Медет ","Необходимое (Продукты)","1055","KZT","1055","KZT","","Береке"
"27.11.21","Доход","Kaspi Медет ","Разное","1000","KZT","1000","KZT","",""
"27.11.21","Расход","Kaspi Медет ","Транспорт","700","KZT","700","KZT","",""
"27.11.21","Расход","Kaspi Айкумiс ","Уход за собой","1500","KZT","1500","KZT","","Ногти"
"27.11.21","Перевод","Наличные Медет ","Наличные Айкумiс ","50","KZT","50","KZT","",""
"27.11.21","Расход","Наличные Айкумiс ","Необходимое (Продукты)","574","KZT","574","KZT","","Береке"
"27.11.21","Расход","Jusan Медет","Автобус (Транспорт)","160","KZT","160","KZT","",""
"27.11.21","Перевод","Kaspi Медет ","Kaspi Айкумiс ","3000","KZT","3000","KZT","",""
"27.11.21","Перевод","Кошелёк ","Kaspi Медет ","5000","KZT","5000","KZT","",""
"27.11.21","Расход","Jusan Медет","Автобус (Транспорт)","160","KZT","160","KZT","",""
"27.11.21","Расход","Jusan Медет","Досуг","427","KZT","427","KZT","","Чечил"
"26.11.21","Расход","Kaspi Медет ","Продукты","350","KZT","350","KZT","","Обед"
"26.11.21","Расход","Kaspi Медет ","Досуг","1150","KZT","1150","KZT","","Табак"
"25.11.21","Расход","Jusan Медет","Автобус (Транспорт)","160","KZT","160","KZT","",""
"25.11.21","Расход","Kaspi Айкумiс ","Автобус (Транспорт)","160","KZT","160","KZT","",""
"25.11.21","Перевод","Kaspi Медет ","Kaspi Айкумiс ","200","KZT","200","KZT","",""
"25.11.21","Расход","Kaspi Медет ","Необходимое (Продукты)","350","KZT","350","KZT","","Завтрак"
"25.11.21","Расход","Наличные Айкумiс ","Такси (Транспорт)","1000","KZT","1000","KZT","",""
"25.11.21","Расход","Kaspi Медет ","Здоровье","8000","KZT","8000","KZT","","Узи мое и Асема"
"25.11.21","Перевод","Kaspi Медет ","Кошелёк ","35000","KZT","35000","KZT","",""
"24.11.21","Расход","Jusan Медет","Необходимое (Продукты)","290","KZT","290","KZT","","Завтра"
"24.11.21","Расход","Kaspi Медет ","Такси (Транспорт)","600","KZT","600","KZT","",""
