ДАТА;ТИП;СО СЧЁТА;НА СЧЁТ / НА КАТЕГОРИЮ;СУММА;ВАЛЮТА;СУММА 2;ВАЛЮТА 2;МЕТКИ;ЗАМЕТКИ
27.11.2021;Расход;Kaspi Айкумiс;Уход за собой (Здоровье);1500;KZT;1500;KZT;;Ногти
25.11.2021;Расход;Kaspi Айкумiс;Автобус (Транспорт);160;KZT;160;KZT;;
24.11.2021;Расход;Kaspi Айкумiс;Необходимое (Еда);269;KZT;269;KZT;;
23.11.2021;Перевод;Kaspi Айкумiс;Наличные Айкумiс;1500;KZT;1500;KZT;;
22.11.2021;Расход;Kaspi Айкумiс;Необходимое (Еда);500;KZT;500;KZT;;Вода
21.11.2021;Расход;Kaspi Айкумiс;Необходимое (Еда);4454;KZT;4454;KZT;;
19.11.2021;Расход;Kaspi Айкумiс;Подарки (Покупки);1000;KZT;1000;KZT;;Мама попросила
19.11.2021;Расход;Kaspi Айкумiс;Такси (Транспорт);700;KZT;700;KZT;;
19.11.2021;Расход;Kaspi Айкумiс;Досуг;1500;KZT;1500;KZT;;
18.11.2021;Расход;Kaspi Айкумiс;Общие (Платежи);165;KZT;165;KZT;;
17.11.2021;Расход;Kaspi Айкумiс;Такси (Транспорт);520;KZT;520;KZT;;
12.11.2021;Расход;Kaspi Айкумiс;Аптека (Здоровье);6450;KZT;6450;KZT;;Витамины
12.11.2021;Расход;Kaspi Айкумiс;Необязательное (Еда);600;KZT;600;KZT;;Пироженое
12.11.2021;Расход;Kaspi Айкумiс;Такси (Транспорт);700;KZT;700;KZT;;
11.11.2021;Расход;Kaspi Айкумiс;Такси (Транспорт);600;KZT;600;KZT;;
11.11.2021;Расход;Kaspi Айкумiс;Алкоголь (Досуг);800;KZT;800;KZT;;Закуски
10.11.2021;Перевод;Kaspi Айкумiс;Кошелёк;20000;KZT;20000;KZT;;
08.11.2021;Расход;Kaspi Айкумiс;Необходимое (Еда);130;KZT;130;KZT;;Вода
08.11.2021;Расход;Kaspi Айкумiс;Уход за собой (Здоровье);3000;KZT;3000;KZT;;Маникур
08.11.2021;Расход;Kaspi Айкумiс;Такси (Транспорт);480;KZT;480;KZT;;
07.11.2021;Перевод;Kaspi Айкумiс;Kaspi Медет;2000;KZT;2000;KZT;;
02.11.2021;Расход;Kaspi Айкумiс;Кафе (Досуг);3000;KZT;3000;KZT;;Тандыр
