ДАТА;ТИП;СО СЧЁТА;НА СЧЁТ / НА КАТЕГОРИЮ;СУММА;ВАЛЮТА;СУММА 2;ВАЛЮТА 2;МЕТКИ;ЗАМЕТКИ
28.11.2021;Расход;Kaspi Медет;Необходимое (Еда);1055;KZT;1055;KZT;;Береке
27.11.2021;Доход;Kaspi Медет;Разное;1000;KZT;1000;KZT;;
27.11.2021;Расход;Kaspi Медет;Транспорт;700;KZT;700;KZT;;
27.11.2021;Перевод;Kaspi Медет;Kaspi Айкумiс;3000;KZT;3000;KZT;;
26.11.2021;Расход;Kaspi Медет;Продукты;350;KZT;350;KZT;;Обед
26.11.2021;Расход;Kaspi Медет;Кальян (Досуг);1150;KZT;1150;KZT;;Табак
25.11.2021;Перевод;Kaspi Медет;Kaspi Айкумiс;200;KZT;200;KZT;;
25.11.2021;Расход;Kaspi Медет;Питание (Еда);350;KZT;350;KZT;;Завтрак
25.11.2021;Расход;Kaspi Медет;Лечение (Здоровье);8000;KZT;8000;KZT;;Узи мое и Асема
25.11.2021;Перевод;Kaspi Медет;Кошелёк;35000;KZT;35000;KZT;;
24.11.2021;Расход;Kaspi Медет;Такси (Транспорт);600;KZT;600;KZT;;
23.11.2021;Расход;Kaspi Медет;Продукты;250;KZT;250;KZT;;К чаю
23.11.2021;Расход;Kaspi Медет;Такси (Транспорт);270;KZT;270;KZT;;
21.11.2021;Расход;Kaspi Медет;Такси (Транспорт);400;KZT;400;KZT;;
20.11.2021;Расход;Kaspi Медет;Автобус (Транспорт);160;KZT;160;KZT;;
19.11.2021;Расход;Kaspi Медет;Автобус (Транспорт);80;KZT;80;KZT;;
19.11.2021;Расход;Kaspi Медет;Такси (Транспорт);900;KZT;900;KZT;;
18.11.2021;Расход;Kaspi Медет;Питание (Еда);1170;KZT;1170;KZT;;Обед
17.11.2021;Расход;Kaspi Медет;Такси (Транспорт);1000;KZT;1000;KZT;;2 раза
17.11.2021;Перевод;Kaspi Медет;Kaspi Айкумiс;650;KZT;650;KZT;;
16.11.2021;Расход;Kaspi Медет;Такси (Транспорт);350;KZT;350;KZT;;
12.11.2021;Расход;Kaspi Медет;Разное (Покупки);4500;KZT;4500;KZT;;
12.11.2021;Перевод;Kaspi Медет;Kaspi Айкумiс;830;KZT;830;KZT;;
11.11.2021;Доход;Kaspi Медет;Подработка;50000;KZT;50000;KZT;;
11.11.2021;Расход;Kaspi Медет;Автобус (Транспорт);400;KZT;400;KZT;;
10.11.2021;Расход;Kaspi Медет;Дом  (Покупки);140000;KZT;140000;KZT;;Балкон
10.11.2021;Расход;Kaspi Медет;Продукты;720;KZT;720;KZT;;Обед
08.11.2021;Доход;Kaspi Медет;Подработка;3000;KZT;3000;KZT;;
08.11.2021;Перевод;Kaspi Медет;Kaspi Айкумiс;31000;KZT;31000;KZT;;
07.11.2021;Расход;Kaspi Медет;Уход за собой (Здоровье);4000;KZT;4000;KZT;;Стрижка кота
06.11.2021;Расход;Kaspi Медет;Автобус (Транспорт);80;KZT;80;KZT;;
06.11.2021;Расход;Kaspi Медет;Такси (Транспорт);800;KZT;800;KZT;;
06.11.2021;Расход;Kaspi Медет;Необязательное (Еда);970;KZT;970;KZT;;
06.11.2021;Доход;Kaspi Медет;Подработка;1500;KZT;1500;KZT;;
05.11.2021;Перевод;Kaspi Медет;Jusan Медет;1000;KZT;1000;KZT;;
05.11.2021;Расход;Kaspi Медет;Такси (Транспорт);400;KZT;400;KZT;;
04.11.2021;Расход;Kaspi Медет;Коммунальные (Платежи);4430.08;KZT;4430.08;KZT;;Мусор
03.11.2021;Перевод;Kaspi Медет;Кошелёк;27000;KZT;27000;KZT;;
02.11.2021;Расход;Kaspi Медет;Такси (Транспорт);600;KZT;600;KZT;;
02.11.2021;Перевод;Kaspi Медет;Kaspi Айкумiс;5000;KZT;5000;KZT;;
02.11.2021;Расход;Kaspi Медет;Такси (Транспорт);600;KZT;600;KZT;;
02.11.2021;Перевод;Kaspi Медет;Кошелёк;3000;KZT;3000;KZT;;
02.11.2021;Доход;Kaspi Медет;Подработка;3000;KZT;3000;KZT;;
02.11.2021;Перевод;Kaspi Медет;Наличные Медет;2000;KZT;2000;KZT;;
02.11.2021;Перевод;Kaspi Медет;Сбербанк Медет;63000;KZT;63000;KZT;;
02.11.2021;Перевод;Kaspi Медет; Ipont;16203;KZT;16203;KZT;;
02.11.2021;Доход;Kaspi Медет;Разное;3000;KZT;3000;KZT;;Процент по депозиту
02.11.2021;Перевод;Kaspi Медет;Кошелёк;10500;KZT;10500;KZT;;
01.11.2021;Расход;Kaspi Медет;Такси (Транспорт);400;KZT;400;KZT;;
01.11.2021;Расход;Kaspi Медет;Такси (Транспорт);520.39;KZT;520.39;KZT;;
01.11.2021;Расход;Kaspi Медет;Такси (Транспорт);600;KZT;600;KZT;;
