ДАТА;ТИП;СО СЧЁТА;НА СЧЁТ / НА КАТЕГОРИЮ;СУММА;ВАЛЮТА;СУММА 2;ВАЛЮТА 2;МЕТКИ;ЗАМЕТКИ
29.11.2021;Расход;Jusan Медет;Продукты;420;KZT;420;KZT;;Молоко
27.11.2021;Расход;Jusan Медет;Автобус (Транспорт);160;KZT;160;KZT;;
27.11.2021;Расход;Jusan Медет;Автобус (Транспорт);160;KZT;160;KZT;;
27.11.2021;Расход;Jusan Медет;Алкоголь (Досуг);427;KZT;427;KZT;;Чечил
25.11.2021;Расход;Jusan Медет;Автобус (Транспорт);160;KZT;160;KZT;;
24.11.2021;Расход;Jusan Медет;Питание (Еда);290;KZT;290;KZT;;Завтрак
24.11.2021;Расход;Jusan Медет;Необязательное (Еда);695;KZT;695;KZT;;Сок Адлету
23.11.2021;Расход;Jusan Медет;Кальян (Досуг);320;KZT;320;KZT;;Угли
22.11.2021;Расход;Jusan Медет;Необходимое (Еда);580;KZT;580;KZT;;Береке
21.11.2021;Расход;Jusan Медет;Аптека (Здоровье);477;KZT;477;KZT;;Аптека
21.11.2021;Расход;Jusan Медет;Автобус (Транспорт);320;KZT;320;KZT;;
20.11.2021;Расход;Jusan Медет;Необходимое (Еда);120;KZT;120;KZT;;Хлеб
20.11.2021;Расход;Jusan Медет;Необязательное (Еда);1711;KZT;1711;KZT;;
20.11.2021;Расход;Jusan Медет;Необходимое (Еда);508;KZT;508;KZT;;
20.11.2021;Расход;Jusan Медет;Необязательное (Еда);230;KZT;230;KZT;;Кола
19.11.2021;Расход;Jusan Медет;Алкоголь (Досуг);1662;KZT;1662;KZT;;Пиво
19.11.2021;Расход;Jusan Медет;Кальян (Досуг);1300;KZT;1300;KZT;;Табак угли
17.11.2021;Расход;Jusan Медет;Необязательное (Еда);230;KZT;230;KZT;;
16.11.2021;Расход;Jusan Медет;Общие (Платежи);200;KZT;200;KZT;;Комиссия
16.11.2021;Перевод;Jusan Медет;Kaspi Медет;1000;KZT;1000;KZT;;
15.11.2021;Расход;Jusan Медет;Необходимое (Еда);1452;KZT;1452;KZT;;
12.11.2021;Расход;Jusan Медет;Необходимое (Еда);300;KZT;300;KZT;;
12.11.2021;Расход;Jusan Медет;Автобус (Транспорт);80;KZT;80;KZT;;
12.11.2021;Расход;Jusan Медет;Разное (Покупки);2970.74;KZT;2970.74;KZT;;
12.11.2021;Расход;Jusan Медет;Необязательное (Еда);200;KZT;200;KZT;;Кола
12.11.2021;Расход;Jusan Медет;Продукты;400;KZT;400;KZT;;Вода
11.11.2021;Расход;Jusan Медет;Продукты;190;KZT;190;KZT;;Кетчуп
11.11.2021;Расход;Jusan Медет;Продукты;209;KZT;209;KZT;;Вода
10.11.2021;Расход;Jusan Медет;Необходимое (Еда);3011;KZT;3011;KZT;;
10.11.2021;Расход;Jusan Медет;Продукты;480;KZT;480;KZT;;Яйца
09.11.2021;Расход;Jusan Медет;Продукты;453;KZT;453;KZT;;Фрукты
08.11.2021;Расход;Jusan Медет;Продукты;330;KZT;330;KZT;;Молоко
07.11.2021;Расход;Jusan Медет;Аптека (Здоровье);2367;KZT;2367;KZT;;
05.11.2021;Расход;Jusan Медет;Алкоголь (Досуг);1845;KZT;1845;KZT;;Пиво
05.11.2021;Расход;Jusan Медет;Продукты;1116;KZT;1116;KZT;;Береке
04.11.2021;Расход;Jusan Медет;Коммунальные (Платежи);1442.15;KZT;1442.15;KZT;;Интернет 
03.11.2021;Расход;Jusan Медет;Необязательное (Еда);300;KZT;300;KZT;;Сок
02.11.2021;Расход;Jusan Медет;Общие (Платежи);150;KZT;150;KZT;;Комиссия 
02.11.2021;Перевод;Jusan Медет;Kaspi Медет;130000;KZT;130000;KZT;;
02.11.2021;Расход;Jusan Медет;Автобус (Транспорт);80;KZT;80;KZT;;
01.11.2021;Расход;Jusan Медет;Необходимое (Еда);11189;KZT;11189;KZT;;Астыкжан
01.11.2021;Доход;Jusan Медет;Зарплата Медет;168870.21;KZT;168870.21;KZT;;
